,PlayKey,time,event,x,y,dir,dis,o,s
0,26624-1-1,0,huddle_start_offense,87.46,28.93,288.24,0.01,262.33,0.13
1,26624-1-1,0.1,,87.45,28.92,283.91,0.01,261.69,0.12
2,26624-1-1,0.2,,87.44,28.92,280.4,0.01,261.17,0.12
3,26624-1-1,0.3,,87.44,28.92,278.79,0.01,260.66,0.1
4,26624-1-1,0.4,,87.44,28.92,275.44,0.01,260.27,0.09
5,26624-1-1,0.5,,87.45,28.92,270.06,0.01,260.08,0.07
6,26624-1-1,0.6,,87.46,28.92,265.05,0.01,260.05,0.05
7,26624-1-1,0.7,,87.46,28.92,255.75,0,260.28,0.02
8,26624-1-1,0.8,,87.46,28.92,244.56,0,260.72,0.01
9,26624-1-1,0.9,,87.46,28.92,220.57,0,261.26,0.01
10,26624-1-1,1,,87.46,28.92,188.42,0,261.79,0
11,26624-1-1,1.1,,87.46,28.92,118.12,0,262.32,0.01
12,26624-1-1,1.2,,87.45,28.92,105.26,0,262.83,0.01
13,26624-1-1,1.3,,87.45,28.92,117.95,0,263.29,0.01
14,26624-1-1,1.4,,87.45,28.92,177.22,0,263.72,0
15,26624-1-1,1.5,,87.45,28.92,227.39,0,264.12,0.01
16,26624-1-1,1.6,,87.45,28.92,235.38,0,264.52,0
17,26624-1-1,1.7,,87.45,28.92,245.87,0,264.89,0
18,26624-1-1,1.8,,87.45,28.92,246.84,0,265.21,0
19,26624-1-1,1.9,,87.45,28.92,219.7,0,265.49,0
20,26624-1-1,2,,87.45,28.92,174.58,0,265.72,0
21,26624-1-1,2.1,,87.45,28.92,140.45,0,265.92,0
22,26624-1-1,2.2,,87.45,28.91,124.16,0,266.08,0.01
23,26624-1-1,2.3,,87.45,28.91,118.58,0,266.22,0.01
24,26624-1-1,2.4,,87.45,28.91,115.21,0,266.33,0.01
25,26624-1-1,2.5,,87.45,28.91,111.46,0,266.41,0.01
26,26624-1-1,2.6,,87.45,28.91,107.99,0,266.48,0.01
27,26624-1-1,2.7,,87.45,28.91,105.14,0,266.53,0.01
28,26624-1-1,2.8,,87.45,28.91,102.31,0,266.57,0.02
29,26624-1-1,2.9,,87.46,28.91,99.76,0,266.6,0.02
30,26624-1-1,3,,87.46,28.91,96.47,0,266.64,0.02
31,26624-1-1,3.1,,87.46,28.91,92.74,0,266.67,0.02
32,26624-1-1,3.2,,87.46,28.91,88.16,0,266.71,0.02
33,26624-1-1,3.3,,87.47,28.91,82.2,0,266.76,0.02
34,26624-1-1,3.4,,87.47,28.91,74.54,0,266.81,0.02
35,26624-1-1,3.5,,87.47,28.91,64.74,0,266.86,0.02
36,26624-1-1,3.6,,87.48,28.91,52.49,0,266.91,0.02
37,26624-1-1,3.7,,87.48,28.91,37.76,0,266.97,0.02
38,26624-1-1,3.8,,87.48,28.91,21.79,0,267.01,0.02
39,26624-1-1,3.9,,87.48,28.91,1.84,0,267.03,0.02
40,26624-1-1,4,,87.48,28.91,337.87,0,267.02,0.05
41,26624-1-1,4.1,huddle_break_offense,87.48,28.92,325.16,0,266.96,0.17
42,26624-1-1,4.2,,87.48,28.92,320.6,0,266.84,0.32
43,26624-1-1,4.3,,87.48,28.92,317.99,0,266.61,0.45
44,26624-1-1,4.4,,87.48,28.93,315.72,0,266,0.54
45,26624-1-1,4.5,,87.48,28.93,313.13,0.01,264.01,0.6
46,26624-1-1,4.6,,87.47,28.94,310.74,0.01,260.36,0.65
47,26624-1-1,4.7,,87.47,28.94,308.21,0.01,255.53,0.69
48,26624-1-1,4.8,,87.46,28.95,306.12,0.02,250.04,0.74
49,26624-1-1,4.9,,87.42,29,304.27,0.06,244.13,0.79
50,26624-1-1,5,,87.29,29.16,302.47,0.21,237.84,0.84
51,26624-1-1,5.1,,87.1,29.36,300.73,0.28,231.17,0.89
52,26624-1-1,5.2,,86.93,29.51,299.22,0.23,224.28,0.94
53,26624-1-1,5.3,,86.79,29.6,297.7,0.16,217.43,0.99
54,26624-1-1,5.4,,86.69,29.65,296.21,0.11,210.72,1.03
55,26624-1-1,5.5,,86.6,29.67,294.48,0.1,204.26,1.08
56,26624-1-1,5.6,,86.5,29.68,292.69,0.1,198.18,1.12
57,26624-1-1,5.7,,86.4,29.7,291.06,0.1,193.08,1.16
58,26624-1-1,5.8,,86.3,29.72,289.13,0.1,189.29,1.17
59,26624-1-1,5.9,,86.2,29.73,284.96,0.1,186.52,1.12
60,26624-1-1,6,,86.11,29.74,279.14,0.1,184.1,1.03
61,26624-1-1,6.1,,86,29.75,273.87,0.1,181.77,0.96
62,26624-1-1,6.2,,85.91,29.75,270.75,0.1,179.67,0.92
63,26624-1-1,6.3,,85.81,29.75,269.13,0.1,177.94,0.9
64,26624-1-1,6.4,,85.71,29.74,268.52,0.1,176.56,0.89
65,26624-1-1,6.5,,85.61,29.72,268.4,0.1,175.41,0.87
66,26624-1-1,6.6,,85.52,29.7,268.68,0.09,174.51,0.84
67,26624-1-1,6.7,,85.43,29.69,269.45,0.09,173.91,0.81
68,26624-1-1,6.8,,85.35,29.67,270.01,0.08,173.6,0.78
69,26624-1-1,6.9,,85.27,29.65,270.68,0.08,173.65,0.75
70,26624-1-1,7,,85.2,29.63,271.53,0.08,174.04,0.72
71,26624-1-1,7.1,,85.13,29.63,272.66,0.07,174.66,0.68
